regime,files,rows,bytes,query,label,median_ms,mean_ms,p05_ms,p95_ms,reps
sweep,56,20000,1935588,TIME_RANGE,TIME_RANGE,366.6278123855591,377.0563046137492,340.55256843566895,457.7789306640625,30
sweep,56,20000,1935588,REGION_FILTER,REGION_FILTER(APAC),364.41779136657715,380.43514092763263,322.6954936981201,543.0009365081787,30
sweep,56,20000,1935588,SENSOR_LOOKUP,SENSOR_LOOKUP(S-002),628.1278133392334,630.642565091451,577.7950286865234,718.0218696594238,30
sweep,56,20000,1935588,TYPE_FILTER,TYPE_FILTER(alert),366.9624328613281,376.57372156778973,326.66826248168945,499.2084503173828,30
sweep,56,20000,1935588,FULL_SCAN,FULL_SCAN,241.90592765808105,247.50299453735352,219.76280212402344,336.02118492126465,30
sweep,112,20000,2108741,TIME_RANGE,TIME_RANGE,611.7348670959473,633.6696545282999,570.7759857177734,888.3893489837646,30
sweep,112,20000,2108741,REGION_FILTER,REGION_FILTER(EU),630.8772563934326,634.4916105270386,576.106071472168,728.8346290588379,30
sweep,112,20000,2108741,SENSOR_LOOKUP,SENSOR_LOOKUP(S-004),1129.950761795044,1149.3967533111572,1049.8504638671875,1381.0484409332275,30
sweep,112,20000,2108741,TYPE_FILTER,TYPE_FILTER(command),644.9899673461914,675.992226600647,590.1315212249756,799.3741035461426,30
sweep,112,20000,2108741,FULL_SCAN,FULL_SCAN,424.9112606048584,431.02333545684814,398.02002906799316,538.0322933197021,30
sweep,224,20000,2435485,TIME_RANGE,TIME_RANGE,1079.3993473052979,1092.504088083903,996.4282512664795,1340.0073051452637,30
sweep,224,20000,2435485,REGION_FILTER,REGION_FILTER(US),1205.8688402175903,1227.0832856496174,1131.6730976104736,1476.012945175171,30
sweep,224,20000,2435485,SENSOR_LOOKUP,SENSOR_LOOKUP(S-006),2033.898949623108,2052.2398312886558,1927.2310733795166,2269.8378562927246,30
sweep,224,20000,2435485,TYPE_FILTER,TYPE_FILTER(alert),1130.642056465149,1161.9115829467773,1071.7074871063232,1347.6197719573975,30
sweep,224,20000,2435485,FULL_SCAN,FULL_SCAN,744.3572282791138,768.0025180180868,716.5501117706299,887.9563808441162,30
sweep,448,20000,3075140,TIME_RANGE,TIME_RANGE,1935.4915618896484,1960.1170460383098,1842.6973819732666,2306.8158626556396,30
sweep,448,20000,3075140,REGION_FILTER,REGION_FILTER(APAC),2241.0393953323364,2250.0999530156455,2105.365514755249,2407.12833404541,30
sweep,448,20000,3075140,SENSOR_LOOKUP,SENSOR_LOOKUP(S-005),3955.2321434020996,3964.421534538269,3784.4009399414062,4238.499879837036,30
sweep,448,20000,3075140,TYPE_FILTER,TYPE_FILTER(command),2263.0863189697266,2293.450689315796,2121.983289718628,2572.075366973877,30
sweep,448,20000,3075140,FULL_SCAN,FULL_SCAN,1504.6446323394775,1528.9971351623535,1377.01416015625,1740.450382232666,30
