name_a,name_b,n,mean_a,mean_b,mean_diff,wilcoxon_p,permutation_p,cliffs_delta,rank_biserial,effect_label,wilcoxon_p_corr,permutation_p_corr,significant,protocol,metric,metric_label,higher_is_better
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_attentive_ppoclip,5,547.9543639999999,498.114653,49.83971100000001,0.1875,0.1875,0.2,0.7333333333333333,small,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_ddqn,5,547.9543639999999,343.9272239999999,204.02714,0.1875,0.1875,0.84,0.7333333333333333,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
CompactOnlyRL_attentive_ppoclip,MultiAgentRL_mlp_ppo,5,547.9543639999999,637.1669238,-89.21255979999998,0.625,0.4375,-0.28,-0.3333333333333333,small,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
CompactOnlyRL_attentive_ppoclip,Threshold10_C128,5,547.9543639999999,330.6657434,217.2886206,0.0625,0.0625,1.0,1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
CompactOnlyRL_attentive_ppoclip,Threshold10_C64,5,547.9543639999999,570.7903980000001,-22.836033999999994,0.625,0.8125,-0.2,-0.3333333333333333,small,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
CompactOnlyRL_attentive_ppoclip,WorkloadAwareThreshold,5,547.9543639999999,572.5009422,-24.54657820000001,1.0,0.9375,-0.2,-0.06666666666666667,small,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_attentive_ppoclip,MultiAgentRL_ddqn,5,498.114653,343.9272239999999,154.18742899999998,0.3125,0.25,0.6,0.6,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_attentive_ppoclip,MultiAgentRL_mlp_ppo,5,498.114653,637.1669238,-139.0522708,0.125,0.125,-0.52,-0.8666666666666667,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_attentive_ppoclip,Threshold10_C128,5,498.114653,330.6657434,167.44890959999998,0.1875,0.1875,0.76,0.7333333333333333,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_attentive_ppoclip,Threshold10_C64,5,498.114653,570.7903980000001,-72.675745,0.3125,0.3125,-0.2,-0.6,small,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_attentive_ppoclip,WorkloadAwareThreshold,5,498.114653,572.5009422,-74.38628920000002,0.8125,0.5,-0.2,-0.2,small,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_ddqn,MultiAgentRL_mlp_ppo,5,343.9272239999999,637.1669238,-293.2396998,0.0625,0.0625,-1.0,-1.0,large,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
MultiAgentRL_ddqn,Threshold10_C128,5,343.9272239999999,330.6657434,13.261480600000004,0.3125,0.3125,0.2,0.6,small,1.0,1.0,False,std1000,avg_latency_ms,Latency (ms),False
