tag,seed,arch,specialist,algorithm,n_train_samples,trainable_params,approx_gradient_updates,wall_clock_sec,final_loss,gpu,platform,tf_version,timestamp
partition_attentive_ppo_seed4,4,attentive_ppo,partition,awr_shaped_balanced,4990,85830,15400,44.5,0.9373316808983132,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:21:27
compaction_mlp_ppo_seed4,4,mlp_ppo,compaction,offline_ppo_clip,17000,70469,39750,177.1,-0.013596609675745785,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:24:24
partition_mlp_ppo_seed4,4,mlp_ppo,partition,offline_ppo_clip,4990,121734,15400,73.4,-0.16676775929031531,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:25:38
compaction_ddqn_seed4,4,ddqn,compaction,double_dqn_rawQ,17000,71237,39750,272.0,0.08775417672652275,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:30:10
partition_ddqn_seed4,4,ddqn,partition,double_dqn_rawQ,4990,122502,15400,109.3,872338.1760598207,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:31:59
compaction_attentive_ppo_seed5,5,attentive_ppo,compaction,awr_returns,17000,84741,39750,245.8,0.41651072109167553,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:36:05
partition_attentive_ppo_seed5,5,attentive_ppo,partition,awr_shaped_balanced,4990,85830,15400,44.2,0.7233010861608717,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:36:49
compaction_mlp_ppo_seed5,5,mlp_ppo,compaction,offline_ppo_clip,17000,70469,39750,177.6,-0.015670556933577873,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:39:47
partition_mlp_ppo_seed5,5,mlp_ppo,partition,offline_ppo_clip,4990,121734,15400,73.3,-0.17208016342691965,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:41:00
compaction_ddqn_seed5,5,ddqn,compaction,double_dqn_rawQ,17000,71237,39750,272.2,0.09078911877818462,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:45:32
partition_ddqn_seed5,5,ddqn,partition,double_dqn_rawQ,4990,122502,15400,110.5,767072.4867976262,"Tesla T4
Tesla T4",Linux-6.12.90+-x86_64-with-glibc2.35,2.20.0,2026-08-01T19:47:23
